Volt ud	Modstand Thermistor
1.831092	5778.688297
1.829104	5768.802272
1.830185	5774.187124
1.828903	5767.815530
1.828577	5766.163755
1.828653	5766.594359
1.828851	5767.550725
1.829189	5769.240783
1.829285	5769.713420
1.829542	5770.974726
1.829296	5769.783027
1.828166	5764.174106
1.828864	5767.613607
1.828845	5767.545546
1.829155	5769.053115
1.829779	5772.185857
1.828817	5767.362372
1.829204	5769.309797
1.828608	5766.334900
1.828686	5766.748676
1.828916	5767.893350
1.829504	5770.812339
1.829209	5769.338367
1.829140	5768.997230
1.829095	5768.775306
1.828784	5767.217495
1.828379	5765.183087
1.829580	5771.162213
1.828671	5766.635752
1.826832	5757.267473
