Volt ud	Modstand Thermistor
2.467278	9743.680743
2.467805	9747.647536
2.466923	9740.747472
2.467306	9743.600657
2.468375	9751.979532
2.467134	9742.269484
2.466587	9738.101676
2.468018	9749.037763
2.467725	9746.949894
2.467458	9744.916406
2.467187	9742.945574
2.466773	9739.465653
2.465296	9728.182364
2.465570	9730.118730
2.466880	9740.346097
2.467884	9748.235240
2.468103	9749.847553
2.468008	9749.212887
2.467122	9742.302862
2.466005	9733.562079
2.466470	9737.320877
2.466346	9736.079679
2.466283	9735.660612
2.466601	9738.144372
2.464690	9723.399233
2.467856	9747.935766
2.467212	9742.827605
2.466634	9738.464408
2.467137	9742.537483
2.467450	9744.810292
