Date:  10:33; onsdag; februar 07; 2024
Model name: Exercise2
Study name: Static 1(-Default-)
Plot type: Static nodal stress Stress1
Result Type: von Mises 


Node  ,Value (N/mm^2 (MPa))  ,X (mm)  ,Y (mm)  ,Z (mm)
134  ,0.5       ,0  ,80.474  ,0
135  ,0.5       ,0  ,80.977  ,0
136  ,0.5       ,0  ,81.48  ,0
137  ,0.5       ,0  ,81.983  ,0
138  ,0.5       ,0  ,82.486  ,0
139  ,0.5       ,0  ,82.989  ,0
140  ,0.5       ,0  ,83.492  ,0
141  ,0.5       ,0  ,83.995  ,0
142  ,0.5       ,0  ,84.498  ,0
143  ,0.5       ,0  ,85.001  ,0
144  ,0.5       ,0  ,85.504  ,0
145  ,0.5       ,0  ,86.007  ,0
146  ,0.5       ,0  ,86.51  ,0
147  ,0.5       ,0  ,87.013  ,0
148  ,0.5       ,0  ,87.516  ,0
149  ,0.5       ,0  ,88.019  ,0
150  ,0.5       ,0  ,88.522  ,0
151  ,0.5       ,0  ,89.025  ,0
152  ,0.5       ,0  ,89.529  ,0
153  ,0.5       ,0  ,90.032  ,0
154  ,0.5       ,0  ,90.535  ,0
155  ,0.5       ,0  ,91.038  ,0
156  ,0.5       ,0  ,91.541  ,0
157  ,0.5       ,0.5  ,91.541  ,0
158  ,0.5       ,1  ,91.541  ,0
159  ,0.5       ,1.5  ,91.541  ,0
160  ,0.5       ,2  ,91.541  ,0
161  ,0.5       ,2.5  ,91.541  ,0
162  ,0.5       ,3  ,91.541  ,0
163  ,0.5       ,3.5  ,91.541  ,0
164  ,0.5       ,4  ,91.541  ,0
165  ,0.5       ,4.5  ,91.541  ,0
166  ,0.5       ,5  ,91.541  ,0
167  ,0.5       ,5.5  ,91.541  ,0
168  ,0.5       ,6  ,91.541  ,0
169  ,0.5       ,6.5  ,91.541  ,0
170  ,0.5       ,7  ,91.541  ,0
171  ,0.5       ,7.5  ,91.541  ,0
172  ,0.5       ,8  ,91.541  ,0
173  ,0.5       ,8  ,91.041  ,0
174  ,0.5       ,8  ,90.541  ,0
175  ,0.5       ,8  ,90.041  ,0
176  ,0.5       ,8  ,89.541  ,0
177  ,0.5       ,8  ,89.041  ,0
178  ,0.5       ,8  ,88.541  ,0
179  ,0.5       ,8  ,88.041  ,0
180  ,0.5       ,8  ,87.541  ,0
181  ,0.5       ,8  ,87.041  ,0
182  ,0.5       ,8  ,86.541  ,0
183  ,0.5       ,8  ,86.041  ,0
184  ,0.5       ,8  ,85.541  ,0
185  ,0.5       ,8  ,85.041  ,0
186  ,0.5       ,8  ,84.541  ,0
187  ,0.5       ,8  ,84.041  ,0
188  ,0.5       ,8  ,83.541  ,0
189  ,0.5       ,8  ,83.041  ,0
190  ,0.5       ,8  ,82.541  ,0
191  ,0.5       ,8  ,82.041  ,0
192  ,0.5       ,8  ,81.541  ,0
193  ,0.5       ,8  ,81.041  ,0
194  ,0.5       ,8  ,80.541  ,0
195  ,0.5       ,8  ,80.041  ,0
196  ,0.5       ,8  ,79.541  ,0
197  ,0.5       ,8  ,79.041  ,0
198  ,0.5       ,8  ,78.541  ,0
199  ,0.5       ,8  ,78.041  ,0
200  ,0.5       ,8  ,77.541  ,0
201  ,0.5       ,8  ,77.041  ,0
202  ,0.5       ,8  ,76.541  ,0
203  ,0.5       ,8  ,76.041  ,0
204  ,0.5       ,8  ,75.541  ,0
205  ,0.5       ,8  ,75.041  ,0
206  ,0.5       ,8  ,74.541  ,0
207  ,0.5       ,8  ,74.041  ,0
208  ,0.4       ,8  ,73.541  ,0
209  ,0.4       ,8  ,73.041  ,0
210  ,0.4       ,8  ,72.541  ,0
211  ,0.4       ,8  ,72.041  ,0
212  ,0.3       ,8  ,71.541  ,0
213  ,0.4       ,7.8238  ,71.071  ,0
214  ,0.5       ,7.6556  ,70.599  ,0
215  ,0.5       ,7.4955  ,70.124  ,0
216  ,0.6       ,7.3434  ,69.648  ,0
217  ,0.6       ,7.1993  ,69.169  ,0
218  ,0.6       ,7.0634  ,68.688  ,0
219  ,0.7       ,6.9354  ,68.204  ,0
220  ,0.7       ,6.8156  ,67.719  ,0
221  ,0.7       ,6.7037  ,67.23  ,0
222  ,0.8       ,6.6  ,66.74  ,0
223  ,0.8       ,6.5042  ,66.248  ,0
224  ,0.8       ,6.4167  ,65.754  ,0
225  ,0.8       ,6.3375  ,65.259  ,0
226  ,0.9       ,6.2667  ,64.763  ,0
227  ,0.9       ,6.2042  ,64.267  ,0
228  ,0.9       ,6.15  ,63.77  ,0
229  ,0.9       ,6.1042  ,63.272  ,0
230  ,0.9       ,6.0667  ,62.773  ,0
231  ,0.9       ,6.0375  ,62.273  ,0
232  ,0.9       ,6.0167  ,61.773  ,0
233  ,0.9       ,6.0042  ,61.272  ,0
234  ,0.9       ,6  ,60.77  ,0
235  ,0.9       ,6  ,60.281  ,0
236  ,0.9       ,6  ,59.792  ,0
237  ,0.9       ,6  ,59.303  ,0
238  ,0.9       ,6  ,58.814  ,0
239  ,0.9       ,6  ,58.325  ,0
240  ,0.9       ,6  ,57.836  ,0
241  ,0.9       ,6  ,57.347  ,0
242  ,0.9       ,6  ,56.858  ,0
243  ,0.9       ,6  ,56.369  ,0
244  ,0.9       ,6  ,55.88  ,0
245  ,0.9       ,6  ,55.391  ,0
246  ,0.9       ,6  ,54.902  ,0
247  ,0.9       ,6  ,54.413  ,0
248  ,0.9       ,6  ,53.924  ,0
249  ,0.8       ,6  ,53.435  ,0
250  ,0.8       ,6  ,52.947  ,0
251  ,0.8       ,6  ,52.458  ,0
252  ,0.8       ,6  ,51.969  ,0
253  ,0.7       ,6  ,51.48  ,0
254  ,0.7       ,6  ,50.991  ,0
255  ,0.6       ,6  ,50.502  ,0
256  ,0.5       ,6  ,50.013  ,0
257  ,0.4       ,6  ,49.524  ,0
258  ,0.3       ,6  ,49.049  ,0
259  ,0.2       ,6  ,48.71  ,0
260  ,0.2       ,6  ,48.468  ,0
261  ,0.2       ,6  ,48.295  ,0
262  ,0.2       ,6  ,48.172  ,0
263  ,0.2       ,6  ,48.083  ,0
264  ,0.2       ,6  ,48.02  ,0
265  ,0.2       ,5.9399  ,48.02  ,0
266  ,0.2       ,5.8802  ,48.017  ,0
267  ,0.2       ,5.8207  ,48.013  ,0
268  ,0.2       ,5.7615  ,48.008  ,0
269  ,0.2       ,5.7027  ,48.001  ,0
270  ,0.2       ,5.6441  ,47.992  ,0
271  ,0.2       ,5.5858  ,47.982  ,0
272  ,0.2       ,5.5278  ,47.971  ,0
273  ,0.2       ,5.47  ,47.957  ,0
274  ,0.2       ,5.4126  ,47.943  ,0
275  ,0.2       ,5.3555  ,47.926  ,0
276  ,0.2       ,5.2986  ,47.908  ,0
277  ,0.3       ,5.2421  ,47.889  ,0
278  ,0.3       ,5.1858  ,47.868  ,0
279  ,0.3       ,5.1265  ,47.844  ,0
280  ,0.4       ,5.067  ,47.818  ,0
281  ,0.4       ,5.0086  ,47.79  ,0
282  ,0.5       ,4.9511  ,47.761  ,0
283  ,0.6       ,4.8947  ,47.731  ,0
284  ,0.7       ,4.8392  ,47.698  ,0
285  ,0.8       ,4.7848  ,47.665  ,0
286  ,0.8       ,4.7314  ,47.629  ,0
287  ,0.9       ,4.679  ,47.592  ,0
288  ,1.0       ,4.6277  ,47.554  ,0
289  ,1.1       ,4.5773  ,47.514  ,0
290  ,1.2       ,4.5279  ,47.472  ,0
291  ,1.3       ,4.4796  ,47.429  ,0
292  ,1.4       ,4.4323  ,47.384  ,0
293  ,1.5       ,4.3861  ,47.338  ,0
294  ,1.7       ,4.3414  ,47.291  ,0
295  ,1.8       ,4.2983  ,47.243  ,0
296  ,1.9       ,4.2568  ,47.193  ,0
