Volt ud	Modstand Thermistor
2.467633	9746.277624
2.467638	9746.197919
2.468178	9750.345400
2.467685	9746.575963
2.467695	9746.582600
2.467207	9742.868868
2.467419	9744.552348
2.468081	9749.646999
2.467304	9743.438100
2.468139	9750.093079
2.467061	9741.764130
2.465844	9732.298153
2.468013	9749.067148
2.467557	9745.644590
2.466729	9739.103481
2.467334	9743.883337
2.466923	9740.376520
2.467872	9748.083852
2.468201	9750.600829
2.466441	9736.722558
2.467370	9744.049430
2.465165	9727.026926
2.466920	9740.710088
2.467058	9741.703480
2.468415	9752.162451
2.468299	9751.417316
2.467467	9744.822976
2.467134	9742.452485
2.468398	9752.025552
2.468807	9755.318764
