Volt ud	Modstand Thermistor
3.164424	17246.591852
3.165102	17258.188504
3.164273	17244.585671
3.162583	17219.185235
3.164042	17242.503847
3.165452	17263.488155
3.163957	17240.498673
3.163277	17231.425976
3.164453	17248.292002
3.164203	17242.862186
3.164584	17250.418708
3.164423	17247.801085
3.163720	17235.429234
3.162017	17212.169843
3.163652	17236.367770
3.164173	17243.199951
3.165541	17263.980620
3.165389	17261.322122
3.164079	17241.425578
3.164234	17244.477303
3.164358	17246.107121
3.163364	17230.993789
3.163420	17232.093379
3.165711	17265.346104
3.164030	17242.062258
3.165167	17258.047980
3.166412	17275.645750
3.164774	17252.433484
3.163885	17239.064586
3.164505	17249.292566
