Volt ud	Modstand Thermistor
1.829294	5769.822259
1.830321	5774.896386
1.829666	5771.604394
1.829141	5769.190035
1.829977	5773.352242
1.830487	5775.835052
1.829967	5773.303148
1.828461	5765.819401
1.829757	5772.170162
1.829922	5772.913909
1.829945	5773.181620
1.829325	5770.100712
1.829774	5772.183279
1.830785	5777.355938
1.829554	5771.235616
1.828617	5766.565071
1.829596	5771.309182
1.830109	5773.979982
1.830080	5773.908985
1.830857	5777.725060
1.830035	5773.632365
1.829816	5772.552434
1.829697	5771.815661
1.830267	5774.826731
1.829086	5768.959444
1.829283	5769.906844
1.829734	5772.134543
1.828857	5767.758715
1.829867	5772.833898
1.830600	5776.331084
