Volt ud	Modstand Thermistor
3.161350	17198.948039
3.161536	17202.242111
3.161684	17204.012371
3.160891	17192.958164
3.161979	17208.811499
3.160491	17186.762394
3.161208	17197.671105
3.161141	17196.549493
3.160730	17190.786125
3.161190	17197.304795
3.161620	17203.587272
3.160808	17191.486935
3.161028	17195.071850
3.161018	17194.608555
3.162433	17215.789788
3.160610	17189.119397
3.160268	17183.692509
3.160823	17192.418255
3.159826	17177.327663
3.161059	17195.393535
3.161826	17206.890762
3.161353	17199.372239
3.160710	17190.758909
3.161039	17195.097704
3.161261	17199.178165
3.159707	17174.990588
3.159968	17179.459201
3.161686	17204.693316
3.161917	17208.456010
3.157299	17135.843133
