Volt ud	Modstand Thermistor
1.829401	5770.430080
1.829869	5772.754265
1.829737	5772.112107
1.829223	5769.575684
1.829224	5769.568704
1.829806	5772.444085
1.829737	5772.148315
1.829858	5772.710561
1.830083	5773.827915
1.829922	5773.013232
1.829589	5771.385220
1.830142	5774.142536
1.830399	5775.383430
1.830461	5775.729138
1.830573	5776.318599
1.830107	5773.953078
1.829638	5771.659102
1.829905	5772.931753
1.829722	5772.001377
1.830076	5773.744631
1.830471	5775.728263
1.830017	5773.507122
1.830030	5773.597393
1.830398	5775.362235
1.831114	5778.949156
1.829607	5771.454572
1.829301	5769.929646
1.829639	5771.603763
1.830281	5774.793779
1.829745	5772.187124
