Volt ud	Modstand Thermistor
3.813839	32182.568738
3.813646	32173.541674
3.812113	32123.004927
3.810908	32079.844924
3.810991	32080.356469
3.813768	32181.564808
3.812623	32138.778321
3.801157	31739.638144
3.798304	31634.390028
3.800881	31726.082917
3.802952	31800.119912
3.804574	31855.015938
3.806112	31910.690220
3.805879	31902.898691
3.808129	31981.831045
3.811784	32109.704544
3.810468	32066.172375
3.810618	32069.625522
3.811161	32091.567130
3.810593	32071.033194
3.810592	32067.835833
3.811230	32090.458394
3.811909	32115.880282
3.812870	32149.665754
3.812252	32128.408687
3.810699	32073.707154
3.811985	32118.948274
3.812159	32124.803554
3.810786	32078.120702
3.808620	31981.008834
