Volt ud	Modstand Thermistor
2.468849	9755.695128
2.468775	9755.320085
2.467754	9747.311309
2.468870	9755.956762
2.468232	9751.070940
2.466384	9736.633049
2.469551	9761.225189
2.467374	9744.386085
2.468940	9756.378023
2.469176	9758.210019
2.469023	9757.273780
2.468288	9751.320670
2.467876	9748.195380
2.467749	9747.323796
2.467707	9747.093271
2.468673	9754.560050
2.467415	9744.739846
2.467748	9747.134447
2.467004	9741.538083
2.467916	9748.582321
2.469469	9760.738405
2.467153	9742.822340
2.469176	9758.494568
2.468762	9755.124205
2.467593	9746.012873
2.468176	9750.600407
2.468989	9756.850277
2.469321	9759.351380
2.466159	9734.964966
2.468733	9754.872275
