Volt ud	Modstand Thermistor
2.468030	9749.122030
2.468327	9751.639197
2.468662	9754.067098
2.469008	9756.886749
2.467179	9742.576743
2.467392	9744.284258
2.468845	9755.598417
2.468387	9751.963329
2.467110	9742.017379
2.468756	9754.788634
2.468195	9750.627621
2.468774	9754.943807
2.468298	9751.279140
2.468638	9753.910219
2.469029	9757.107176
2.468250	9750.997283
2.467796	9747.593495
2.467654	9746.473974
2.466988	9741.190570
2.468877	9755.898668
2.467460	9744.870814
2.467666	9746.579321
2.468637	9753.857790
2.466876	9740.160610
2.468871	9755.750997
2.467749	9747.037352
2.468035	9749.288144
2.467715	9746.764355
2.466722	9739.139856
2.467927	9748.434921
