Volt ud	Modstand Thermistor
3.160704	17190.244676
3.160256	17183.516608
3.161134	17196.792378
3.160462	17186.548130
3.161077	17195.997575
3.158879	17163.508551
3.159977	17179.782342
3.160088	17180.732331
3.159287	17169.586277
3.161522	17202.657417
3.160116	17181.650284
3.159379	17170.219022
3.160931	17193.497856
3.160409	17186.682412
3.161376	17200.472590
3.161704	17205.775165
3.160657	17190.261058
3.159927	17179.665810
3.159989	17179.722350
3.159938	17178.690694
3.159269	17169.309707
3.160788	17191.638889
3.161332	17199.823870
3.161077	17196.281339
3.161478	17201.602573
3.159472	17172.395587
3.160092	17181.668228
3.160664	17190.457120
3.159654	17174.787738
3.161337	17198.777361
