Volt ud	Modstand Thermistor
3.165305	17261.011200
3.165440	17262.415351
3.166803	17282.576420
3.166963	17285.556296
3.165642	17265.489528
3.166809	17282.950749
3.165732	17266.951160
3.168947	17313.754566
3.166407	17277.072806
3.166532	17278.973258
3.166125	17272.840952
3.166870	17283.749953
3.165928	17269.496399
3.165587	17264.843263
3.165813	17267.979503
3.166241	17274.454110
3.165784	17268.407764
3.167093	17287.066671
3.164961	17255.639050
3.166135	17273.087279
3.165551	17263.995225
3.167306	17290.236843
3.165113	17257.564539
3.165519	17263.688967
3.167426	17291.505019
3.166213	17273.924112
3.167329	17290.111319
3.166586	17278.743757
3.166346	17275.589719
3.166789	17282.131382
